rank,title,Previous Rank,Revenues (USDM),Revenue Change,Profits (USDM),Profit Change,Assets (USDM),Mkt Value as of 3/29/18 (USDM),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
737,Granite Construction,808,"USD2,990 ",18.90%,USD69.10 ,21.00%,"USD1,872 ","USD2,228 ","3,600",James H. Roberts,"President, Chief Executive Officer &amp;  Director",Engineering &amp;  Construction,"Engineering, Construction",-,Watsonville,CA,36.910231,-121.7568946
738,Dycom Industries,780,"USD2,978 ",0.80%,USD151.30 ,-3.70%,"USD1,841 ","USD3,357 ","14,365",Steven E. Nielsen,"Chairman, President &amp;  Chief Executive Officer",Engineering &amp;  Construction,"Engineering, Construction",-,Palm Beach Gardens,FL,26.8233946,-80.1386547
739,Clean Harbors,764,"USD2,945 ",6.90%,USD100.70 ,-,"USD3,707 ","USD2,758 ","12,700",Alan S. McKim,"Chairman, President &amp;  Chief Executive Officer",Business Services,Waste Management,-,Norwell,MA,42.1615157,-70.7927832
740,First Solar,738,"USD2,941 ",-0.30%,(USD165.60),-,"USD6,865 ","USD7,416 ","4,100",Mark R. Widmar,Chairman &amp;  Chief Executive Officer,Energy,Energy,-,Tempe,AZ,33.4255104,-111.9400054
741,Scotts Miracle-Gro,740,"USD2,936 ",0.00%,USD218.30 ,-30.80%,"USD2,747 ","USD4,881 ","4,700",James S. Hagedorn,Chairman &amp;  Chief Executive Officer,Chemicals,Chemicals,-,Marysville,OH,40.2364486,-83.3671432
742,Cracker Barrel Old Country Store,747,"USD2,926 ",0.50%,USD201.90 ,6.70%,"USD1,522 ","USD3,821 ","73,000",Sandra B. Cochran,"President, Chief Executive Officer &amp;  Director","Hotels, Restaurants &amp;  Leisure",Food Services,-,Lebanon,TN,36.2081098,-86.2911024
743,Triple-S Management,732,"USD2,916 ",-2.30%,USD54.50 ,212.50%,"USD3,117 ",USD616 ,"3,517",Roberto Garcia-Rodriguez,"President, Chief Executive Officer &amp;  Director",Health Care,Health Care: Insurance and Managed Care,-,San Juan,Puerto Rico,18.4655394,-66.1057355
744,First Republic Bank,842,"USD2,912 ",22.60%,USD757.70 ,12.50%,"USD87,781 ","USD14,982 ","4,025",James H. Herbert II,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,-,SF,CA,37.7749295,-122.4194155
745,ServiceMaster Global Holdings,768,"USD2,912 ",6.00%,USD510.00 ,229.00%,"USD5,646 ","USD6,882 ","13,000",Nikhil Varty,Chairman &amp;  Chief Executive Officer,Business Services,Diversified Outsourcing Services,-,Memphis,TN,35.1495343,-90.0489801
746,PC Connection,775,"USD2,912 ",8.10%,USD54.90 ,14.00%,USD748 ,USD671 ,"2,505",Timothy J. McGrath,"President, Chief Executive Officer &amp;  Director",Retailing,Specialty Retailers: Other,-,Merrimack,NH,42.8678693,-71.4948322
747,Genesco,751,"USD2,907 ",1.30%,(USD111.80),-214.80%,"USD1,315 ",USD809 ,"19,350",Robert J. Dennis,"Chairman, President &amp;  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,-,Nashville,TN,36.1626638,-86.7816016
748,Medical Mutual of Ohio,762,"USD2,895 ",5.00%,USD8.10 ,-80.00%,"USD2,234 ",-,"2,244",Richard A. Chiricosta,"Chairman, President &amp;  Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",-,Cleveland,OH,41.49932,-81.6943605
749,MSC Industrial Direct,752,"USD2,888 ",0.80%,USD231.40 ,0.10%,"USD2,099 ","USD5,178 ","6,563",Erik Gershwind,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,-,Melville,NY,40.7934322,-73.4151214
750,Legg Mason,783,"USD2,887 ",8.50%,USD227.30 ,-,"USD8,290 ","USD3,437 ","3,338",Joseph A. Sullivan,"Chairman, President &amp;  Chief Executive Officer",Financials,Securities,-,Baltimore,MD,39.2903848,-76.6121893
751,Hyster-Yale Materials Handling,792,"USD2,885 ",12.30%,USD48.60 ,13.60%,"USD1,648 ","USD1,157 ","6,800",Alfred M. Rankin Jr.,"Chairman, President &amp;  Chief Executive Officer",Industrials,Industrial Machinery,-,Cleveland,OH,41.49932,-81.6943605
752,Apollo Global Management,881,"USD2,884 ",29.80%,USD629.10 ,56.20%,"USD6,991 ","USD5,970 ","1,047",Leon D. Black,Chairman &amp;  Chief Executive Officer,Financials,Securities,-,New York,NY,40.7127753,-74.0059728
753,Citrix Systems,661,"USD2,883 ",-15.70%,(USD20.70),-103.90%,"USD5,820 ","USD12,635 ","7,500",David J. Henshall,"President, Chief Executive Officer &amp;  Director",Technology,Computer Software,-,Fort Lauderdale,FL,26.1224386,-80.1373174
754,Acadia Healthcare,754,"USD2,877 ",0.90%,USD199.80 ,3153.10%,"USD6,425 ","USD3,459 ","34,050",Joey A. Jacobs,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Medical Facilities,-,Franklin,TN,35.9250637,-86.8688899
755,Varian Medical Systems,691,"USD2,862 ",-11.10%,USD249.60 ,-38.00%,"USD3,179 ","USD11,198 ","6,600",Dow R. Wilson,"President, Chief Executive Officer &amp;  Director",Health Care,Medical Products and Equipment,-,Palo Alto,CA,37.4418834,-122.1430195
756,Groupon,704,"USD2,859 ",-9.00%,USD14.00 ,-,"USD1,678 ","USD2,437 ","6,672",Rich Williams,Chairman &amp;  Chief Executive Officer,Technology,Internet Services and Retailing,-,Chicago,IL,41.8781136,-87.6297982
757,Aleris,782,"USD2,858 ",7.30%,(USD210.60),-,"USD2,644 ",-,"5,400",Sean M. Stack,"Chairman, President &amp;  Chief Executive Officer",Materials,Metals,-,Cleveland,OH,41.49932,-81.6943605
758,Sprague Resources,837,"USD2,855 ",19.50%,USD29.50 ,190.20%,"USD1,363 ",USD542 ,981,David C. Glendon,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,-,Portsmouth,NH,43.0717552,-70.7625532
759,Cooper Tire &amp; Rubber,743,"USD2,855 ",-2.40%,USD95.40 ,-61.60%,"USD2,608 ","USD1,491 ","9,204",Bradley E. Hughes,"President, Chief Executive Officer &amp;  Director",Motor Vehicles &amp;  Parts,Motor Vehicles and Parts,-,Findlay,OH,41.04422,-83.6499321
760,Hain Celestial Group,,"USD2,853 ",-1.10%,USD67.40 ,42.20%,"USD2,931 ","USD3,333 ","7,825",Irwin D. Simon,"Chairman, President &amp;  Chief Executive Officer","Food, Beverages &amp;  Tobacco",Food Consumer Products,-,Lake Success,NY,40.7706572,-73.7176312
761,Penn Mutual Life Insurance,799,"USD2,851 ",12.40%,USD594.00 ,181.80%,"USD31,660 ",-,"3,089",Eileen C. McDonnell,Chairman &amp;  Chief Executive Officer,Financials,"Insurance: Life, Health (stock)",-,Horsham,PA,40.1784422,-75.1285061
762,Colony NorthStar,,"USD2,842 ",613.20%,(USD197.90),-568.00%,"USD24,786 ","USD3,038 ",544,Richard B. Saltzman,"President, Chief Executive Officer &amp;  Director",Financials,Real estate,-,Los Angeles,CA,34.0522342,-118.2436849
763,ArcBest,774,"USD2,827 ",4.70%,USD59.70 ,220.20%,"USD1,366 ",USD822 ,"13,000",Judy R. McReynolds,"Chairman, President &amp;  Chief Executive Officer",Transportation,"Trucking, Truck Leasing",-,Fort Smith,AR,35.3859242,-94.3985475
764,Presidio,,"USD2,818 ",2.80%,USD4.40 ,-,"USD2,651 ","USD1,438 ","2,700",Robert Cagnazzi,"Chairman, President &amp;  Chief Executive Officer",Technology,Information Technology Services,-,New York,NY,40.7127753,-74.0059728
765,TRI Pointe Group,831,"USD2,810 ",16.80%,USD187.20 ,-4.10%,"USD3,805 ","USD2,487 ","1,251",Douglas F. Bauer,Chairman &amp;  Chief Executive Officer,Engineering &amp;  Construction,Homebuilders,-,Irvine,CA,33.6845673,-117.8265049
766,Annaly Capital Management,853,"USD2,809 ",20.10%,"USD1,569.60 ",9.50%,"USD101,760 ","USD12,095 ",152,Kevin G. Keyes,"Chairman, President &amp;  Chief Executive Officer",Financials,Diversified Financials,-,New York,NY,40.7127753,-74.0059728
767,G-III Apparel Group,838,"USD2,807 ",17.60%,USD62.10 ,19.60%,"USD1,915 ","USD1,849 ","9,961",Morris Goldfarb,Chairman &amp;  Chief Executive Officer,Apparel,Apparel,-,New York,NY,40.7127753,-74.0059728
768,AMC Networks,763,"USD2,806 ",1.80%,USD471.30 ,74.20%,"USD5,033 ","USD3,140 ","2,039",Joshua W. Sapan,"President, Chief Executive Officer &amp;  Director",Media,Entertainment,-,New York,NY,40.7127753,-74.0059728
769,Enable Midstream Partners,870,"USD2,803 ",23.40%,USD436.00 ,39.70%,"USD11,593 ","USD5,935 ","1,630",Rodney J. Sailor,"President, Chief Executive Officer &amp;  Director",Energy,Pipelines,-,Oklahoma City,OK,35.4675602,-97.5164276
770,Ciena,788,"USD2,802 ",7.70%,"USD1,262.00 ",1638.60%,"USD3,952 ","USD3,719 ","5,737",Gary B. Smith,"President, Chief Executive Officer &amp;  Director",Technology,Network and Other Communications Equipment,-,Hanover,MD,39.1955042,-76.7228227
771,DSW,772,"USD2,800 ",3.30%,USD67.30 ,-46.00%,"USD1,414 ","USD1,798 ","12,000",Roger L. Rawlins,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,-,Columbus,OH,39.9611755,-82.9987942
772,Convergys,746,"USD2,792 ",-4.20%,USD121.40 ,-15.10%,"USD2,415 ","USD2,073 ","115,000",Andrea J. Ayers,"President, Chief Executive Officer &amp;  Director",Business Services,Diversified Outsourcing Services,-,Cincinnati,OH,39.1031182,-84.5120196
773,Park Hotels &amp; Resorts,,"USD2,791 ",-,"USD2,625.00 ",-,"USD9,714 ","USD5,435 ",520,Thomas J. Baltimore Jr.,"Chairman, President &amp;  Chief Executive Officer",Financials,Real estate,-,McLean,VA,38.9338676,-77.1772604
774,Pool,791,"USD2,788 ",8.50%,USD191.60 ,28.70%,"USD1,101 ","USD5,931 ","4,000",Manuel J. Perez de la Mesa,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,-,Covington,LA,30.4754702,-90.1009108
775,Fossil Group,723,"USD2,788 ",-8.40%,(USD478.20),-706.30%,"USD1,658 ",USD618 ,"12,300",Kosta N. Kartsotis,Chairman &amp;  Chief Executive Officer,Apparel,Apparel,-,Richardson,TX,32.9483335,-96.7298519
776,Dominos Pizza,815,"USD2,788 ",12.80%,USD277.90 ,29.50%,USD837 ,"USD10,060 ","14,200",J. Patrick Doyle,"President, Chief Executive Officer &amp;  Director","Hotels, Restaurants &amp;  Leisure",Food Services,-,Ann Arbor,MI,42.2808256,-83.7430378
777,Crane,767,"USD2,786 ",1.40%,USD171.80 ,39.90%,"USD3,594 ","USD5,547 ","10,600",Max H. Mitchell,"President, Chief Executive Officer &amp;  Director",Industrials,Industrial Machinery,-,Stamford,CT,41.0534302,-73.5387341
778,Caleres,790,"USD2,786 ",8.00%,USD87.20 ,32.80%,"USD1,489 ","USD1,444 ","12,000",Diane M. Sullivan,"Chairman, President &amp;  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,-,St. Louis,MO,38.6270025,-90.1994042
779,Tempur Sealy International,709,"USD2,754 ",-12.00%,USD151.40 ,-20.60%,"USD2,694 ","USD2,461 ","7,000",Scott L. Thompson,"Chairman, President &amp;  Chief Executive Officer",Household Products,"Home Equipment, Furnishings",-,Lexington,KY,38.0405837,-84.5037164
780,Tetra Tech,789,"USD2,753 ",6.60%,USD117.90 ,40.70%,"USD1,903 ","USD2,734 ","16,000",Dan L. Batrack,"Chairman, President &amp;  Chief Executive Officer",Engineering &amp;  Construction,"Engineering, Construction",-,Pasadena,CA,34.1477849,-118.1445155
781,Illumina,833,"USD2,752 ",14.70%,USD726.00 ,56.90%,"USD5,257 ","USD34,754 ","6,200",Francis A. deSouza,"President, Chief Executive Officer &amp;  Director",Technology,"Scientific,Photographic and  Control Equipment",-,San Diego,CA,32.715738,-117.1610838
782,Valmont Industries,804,"USD2,746 ",8.90%,USD116.20 ,-32.90%,"USD2,602 ","USD3,322 ","10,690",Stephen G. Kaniewski,"President, Chief Executive Officer &amp;  Director",Materials,Metals,-,Omaha,NE,41.2565369,-95.9345034
783,Hill-Rom Holdings,784,"USD2,744 ",3.30%,USD133.60 ,7.70%,"USD4,529 ","USD5,757 ","10,000",John P. Groetelaars,"President, Chief Executive Officer &amp;  Director",Health Care,Medical Products and Equipment,-,Chicago,IL,41.8781136,-87.6297982
784,Unisys,756,"USD2,742 ",-2.80%,(USD65.30),-,"USD2,542 ",USD544 ,"20,500",Peter A. Altabef,"President, Chief Executive Officer &amp;  Director",Technology,Information Technology Services,-,Blue Bell,PA,40.1523309,-75.266289
785,Zions Bancorp.,816,"USD2,736 ",10.80%,USD592.00 ,26.20%,"USD66,288 ","USD10,362 ","10,083",Harris H. Simmons,Chairman &amp;  Chief Executive Officer,Financials,Commercial Banks,-,Salt Lake City,UT,40.7607793,-111.8910474
786,Sinclair Broadcast Group,769,"USD2,734 ",-0.10%,USD576.00 ,134.80%,"USD6,785 ","USD3,185 ","8,900",Christopher S. Ripley,"President, Chief Executive Officer &amp;  Director",Media,Entertainment,-,Cockeysville,MD,39.4900013,-76.6585074
787,Louisiana-Pacific,878,"USD2,734 ",22.40%,USD389.80 ,160.20%,"USD2,449 ","USD4,173 ","5,000",W. Bradley Southern,Chairman &amp;  Chief Executive Officer,Materials,"Building Materials, Glass",-,Nashville,TN,36.1626638,-86.7816016
788,Mettler-Toledo International,810,"USD2,725 ",8.60%,USD376.00 ,-2.20%,"USD2,550 ","USD14,635 ","14,600",Olivier A. Filliol,"President, Chief Executive Officer &amp;  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Columbus,OH,39.9611755,-82.9987942
789,Synopsys,827,"USD2,725 ",12.50%,USD136.60 ,-48.80%,"USD5,396 ","USD12,380 ","11,686",Aart J. de Geus/Chi-Foon Chan,Chairman &amp;  Co-Chief Executive Officer,Technology,Computer Software,-,Mountain View,CA,37.3860517,-122.0838511
790,Kemper,803,"USD2,723 ",8.00%,USD120.90 ,619.60%,"USD8,376 ","USD2,933 ","5,550",Joseph P. Lacher Jr.,"President, Chief Executive Officer &amp;  Director",Financials,Insurance: Property and Casualty (Stock),-,Chicago,IL,41.8781136,-87.6297982
791,Cabot,829,"USD2,717 ",12.70%,USD241.00 ,61.70%,"USD3,314 ","USD3,444 ","4,500",Sean D. Keohane,"President, Chief Executive Officer &amp;  Director",Chemicals,Chemicals,-,Boston,MA,42.3600825,-71.0588801
792,Great Plains Energy,778,"USD2,708 ",1.20%,(USD106.20),-136.60%,"USD12,458 ","USD6,856 ","2,709",Terry D. Bassham,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,-,KCMO,MO,39.0997265,-94.5785667
793,Rent-A-Center,735,"USD2,703 ",-8.80%,USD6.70 ,-,"USD1,421 ",USD461 ,"18,300",Mitchell E. Fadel,Chairman &amp;  Chief Executive Officer,Retailing,Specialty Retailers: Other,-,Plano,TX,33.0198431,-96.6988856
794,Hawaiian Holdings,819,"USD2,696 ",10.00%,USD364.00 ,54.60%,"USD2,860 ","USD1,986 ","6,660",Peter R. Ingram,"President, Chief Executive Officer &amp;  Director",Transportation,Airlines,-,Honolulu,HI,21.3069444,-157.8583333
795,Revlon,855,"USD2,694 ",15.40%,(USD183.20),-,"USD3,057 ","USD1,085 ","7,800",Debra G. Perelman,Vice Chairman &amp;  Chief Executive Officer,Household Products,Household and Personal Products,-,New York,NY,40.7127753,-74.0059728
796,Syneos Health,,"USD2,672 ",65.90%,(USD138.50),-222.90%,"USD7,286 ","USD3,713 ","21,000",Alistair MacDonald,Chairman &amp;  Chief Executive Officer,Health Care,Health Care: Pharmacy and Other Services,-,Raleigh,NC,35.7795897,-78.6381787
797,Public Storage,794,"USD2,669 ",4.20%,"USD1,442.20 ",-0.80%,"USD10,733 ","USD34,885 ","5,600",Ronald L. Havner Jr.,Chairman &amp;  Chief Executive Officer,Financials,Real estate,-,Glendale,CA,34.1425078,-118.255075
798,TTM Technologies,800,"USD2,659 ",4.90%,USD124.20 ,256.30%,"USD2,782 ","USD1,582 ","29,000",Thomas T. Edman,"President, Chief Executive Officer &amp;  Director",Technology,Semiconductors and Other Electronic Components,-,Costa Mesa,CA,33.6412156,-117.9188221
799,Vectren,820,"USD2,657 ",8.50%,USD216.00 ,2.10%,"USD6,239 ","USD5,310 ","5,500",Carl L. Chapman,"Chairman, President &amp;  Chief Executive Officer",Energy,Utilities: Gas and Electric,-,Evansville,IN,37.9715592,-87.5710898
800,Trimble,844,"USD2,654 ",12.40%,USD121.10 ,-8.50%,"USD4,298 ","USD8,920 ","9,523",Steven W. Berglund,"President, Chief Executive Officer &amp;  Director",Technology,"Scientific,Photographic and  Control Equipment",-,Sunnyvale,CA,37.36883,-122.0363496
801,NOW,910,"USD2,648 ",25.70%,(USD52.00),-,"USD1,749 ","USD1,104 ","4,463",Robert R. Workman,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,-,Houston,TX,29.7604267,-95.3698028
802,Spirit Airlines,860,"USD2,648 ",14.00%,USD420.60 ,58.80%,"USD4,144 ","USD2,577 ","6,100",Robert L. Fornaro,Chairman &amp;  Chief Executive Officer,Transportation,Airlines,-,Miramar,FL,25.9860762,-80.3035602
803,ASGN,822,"USD2,626 ",7.60%,USD157.70 ,62.20%,"USD1,810 ","USD4,272 ","3,800",Peter T. Dameris,Chief Executive Officer &amp;  Director,Business Services,Temporary Help,-,Calabasas,CA,34.1367208,-118.6614809
804,Lincoln Electric Holdings,868,"USD2,624 ",15.40%,USD247.50 ,24.80%,"USD2,407 ","USD5,902 ","11,000",Christopher L. Mapes,"Chairman, President &amp;  Chief Executive Officer",Industrials,Industrial Machinery,-,Cleveland,OH,41.49932,-81.6943605
805,Prologis,801,"USD2,618 ",3.40%,"USD1,652.30 ",36.60%,"USD29,481 ","USD33,578 ","1,565",Hamid R. Moghadam,Chairman &amp;  Chief Executive Officer,Financials,Real estate,-,SF,CA,37.7749295,-122.4194155
806,Range Resources,,"USD2,611 ",137.40%,USD333.10 ,-,"USD11,729 ","USD3,614 ",773,Jeffrey L. Ventura,"Chairman, President &amp;  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",-,Fort Worth,TX,32.7554883,-97.3307658
807,Teledyne Technologies,900,"USD2,604 ",21.10%,USD227.20 ,19.00%,"USD3,846 ","USD6,682 ","10,340",Robert Mehrabian,"Chairman, President &amp;  Chief Executive Officer",Aerospace &amp;  Defense,Aerospace and Defense,-,Thousand Oaks,CA,34.1705609,-118.8375937
808,Vishay Intertechnology,858,"USD2,604 ",12.10%,(USD20.30),-141.70%,"USD3,459 ","USD2,682 ","23,000",Gerald Paul,"President, Chief Executive Officer &amp;  Director",Technology,Semiconductors and Other Electronic Components,-,Malvern,PA,40.0362184,-75.5138118
809,Boston Properties,796,"USD2,602 ",2.00%,USD462.40 ,-9.80%,"USD19,372 ","USD19,018 ",740,Owen D. Thomas,Chief Executive Officer,Financials,Real estate,-,Boston,MA,42.3600825,-71.0588801
810,Applied Industrial Technologies,806,"USD2,594 ",2.90%,USD133.90 ,352.80%,"USD1,388 ","USD2,819 ","5,554",Neil A. Schrimsher,"President, Chief Executive Officer &amp;  Director",Wholesalers,Wholesalers: Diversified,-,Cleveland,OH,41.49932,-81.6943605
811,Graham Holdings,813,"USD2,592 ",4.40%,USD302.00 ,79.20%,"USD4,938 ","USD3,312 ","16,153",Timothy J. O�Shaughnessy,"President, Chief Executive Officer &amp;  Director",Business Services,Education,-,Arlington,VA,38.8816208,-77.0909809
812,Amica Mutual Insurance,834,"USD2,590 ",8.00%,USD96.10 ,-38.90%,"USD6,355 ",-,"3,693",Robert A. DiMuccio,"Chairman, President &amp;  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),-,Lincoln,RI,41.9110123,-71.4418101
813,Concho Resources,,"USD2,586 ",58.20%,USD956.00 ,-,"USD13,732 ","USD22,409 ","1,203",Timothy A. Leach,Chairman &amp;  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",-,Midland,TX,31.9973456,-102.0779146
814,ITT,830,"USD2,585 ",7.50%,USD113.50 ,-39.00%,"USD3,700 ","USD4,343 ","10,000",Denise L. Ramos,"President, Chief Executive Officer &amp;  Director",Industrials,Industrial Machinery,-,White Plains,NY,41.0339862,-73.7629097
815,Kansas City Southern,854,"USD2,583 ",10.70%,USD962.00 ,101.20%,"USD9,199 ","USD11,320 ","7,130",Patrick J. Ottensmeyer,"President, Chief Executive Officer &amp;  Director",Transportation,Railroads,-,KCMO,MO,39.0997265,-94.5785667
816,MDC Holdings,857,"USD2,578 ",10.80%,USD141.80 ,37.40%,"USD2,780 ","USD1,567 ","1,491",Larry A. Mizel,Chairman &amp;  Chief Executive Officer,Engineering &amp;  Construction,Homebuilders,-,Denver,CO,39.7392358,-104.990251
817,Evergy,793,"USD2,571 ",0.30%,USD323.90 ,-6.50%,"USD11,624 ","USD7,480 ","2,205",Terry D. Bassham,"President, Chief Executive Officer &amp;  Director",Energy,Utilities: Gas and Electric,-,Topeka,KS,39.0473451,-95.6751576
818,Pinnacle Entertainment,840,"USD2,562 ",7.70%,USD63.10 ,-,"USD3,950 ","USD1,753 ","15,377",Anthony M. Sanfilippo,Chairman &amp;  Chief Executive Officer,"Hotels, Restaurants &amp;  Leisure","Hotels, Casinos, Resorts",-,Las Vegas,NV,36.1699412,-115.1398296
819,Hawaiian Electric Industries,839,"USD2,556 ",7.30%,USD165.30 ,-33.40%,"USD13,100 ","USD3,742 ","3,880",Constance H. Lau,"President, Chief Executive Officer &amp;  Director",Energy,Utilities: Gas and Electric,-,Honolulu,HI,21.3069444,-157.8583333
820,TEGNA,671,"USD2,550 ",-23.70%,USD273.70 ,-37.30%,"USD4,962 ","USD2,456 ","5,283",David T. Lougee,"President, Chief Executive Officer &amp;  Director",Media,Entertainment,-,McLean,VA,38.9338676,-77.1772604
821,Southwest Gas Holdings,817,"USD2,549 ",3.60%,USD193.80 ,27.50%,"USD6,237 ","USD3,259 ","7,771",John P. Hester,"President, Chief Executive Officer &amp;  Director",Energy,Utilities: Gas and Electric,-,Las Vegas,NV,36.1699412,-115.1398296
822,Vista Outdoor,872,"USD2,547 ",12.20%,(USD274.50),-286.70%,"USD2,977 ",USD936 ,"6,400",Christopher T. Metz,Chairman &amp;  Chief Executive Officer,Household Products,Miscellaneous,-,Farmington,UT,40.9804999,-111.8874392
823,Bon-Ton Stores,779,"USD2,541 ",-5.00%,(USD90.70),-,"USD1,587 ",USD1 ,"23,300",William X. Tracy,"President, Chief Executive Officer &amp;  Director",Retailing,General Merchandisers,-,York,PA,39.9625984,-76.727745
824,Super Micro Computer,884,"USD2,530 ",14.20%,USD69.30 ,-3.70%,"USD1,489 ",USD828 ,"2,699",Charles Liang,"Chairman, President &amp;  Chief Executive Officer",Technology,"Computers, Office Equipment",-,San Jose,CA,37.3382082,-121.8863286
825,Plexus,795,"USD2,528 ",-1.10%,USD112.10 ,46.60%,"USD1,976 ","USD2,012 ","16,000",Todd P. Kelsey,"President, Chief Executive Officer &amp;  Director",Technology,Semiconductors and Other Electronic Components,-,Neenah,WI,44.1858193,-88.462609
826,TrueBlue,766,"USD2,509 ",-8.80%,USD55.50 ,-,"USD1,109 ","USD1,063 ","5,500",Steven C. Cooper,Chairman &amp;  Chief Executive Officer,Business Services,Temporary Help,-,Tacoma,WA,47.2528768,-122.4442906
827,Magellan Midstream Partners,889,"USD2,508 ",13.70%,USD869.50 ,8.30%,"USD7,394 ","USD13,315 ","1,802",Michael N. Mears,"Chairman, President &amp;  Chief Executive Officer",Energy,Pipelines,-,Tulsa,OK,36.1539816,-95.992775
828,Toro,836,"USD2,505 ",4.70%,USD267.70 ,15.90%,"USD1,494 ","USD6,621 ","6,779",Richard M. Olson,"Chairman, President &amp;  Chief Executive Officer",Industrials,Construction and Farm Machinery,-,Bloomington,MN,44.840798,-93.2982799
829,Akamai Technologies,851,"USD2,503 ",7.00%,USD218.30 ,-30.90%,"USD4,603 ","USD12,069 ","7,650",F. Thomson Leighton,Chief Executive Officer &amp;  Director,Technology,Internet Services and Retailing,-,Cambridge,MA,42.3736158,-71.1097335
830,Moog,828,"USD2,498 ",3.50%,USD141.30 ,11.50%,"USD3,091 ","USD2,949 ","10,675",John R. Scannell,Chairman &amp;  Chief Executive Officer,Aerospace &amp;  Defense,Aerospace and Defense,-,Elma Center,NY,42.8212288,-78.6341996
831,Vertex Pharmaceuticals,,"USD2,489 ",46.20%,USD263.50 ,-,"USD3,546 ","USD41,379 ","2,300",Jeffrey M. Leiden,"Chairman, President &amp;  Chief Executive Officer",Health Care,Pharmaceuticals,-,Boston,MA,42.3600825,-71.0588801
832,Equity Residential,825,"USD2,471 ",1.90%,USD603.50 ,-85.90%,"USD20,571 ","USD22,687 ","2,683",David J. Neithercut,"President, Chief Executive Officer &amp;  Director",Financials,Real estate,-,Chicago,IL,41.8781136,-87.6297982
833,Selective Insurance Group,865,"USD2,470 ",8.10%,USD168.80 ,6.50%,"USD7,686 ","USD3,566 ","2,260",Gregory E. Murphy,Chairman &amp;  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),-,Branchville,NJ,41.1464852,-74.7523874
834,AptarGroup,856,"USD2,469 ",5.90%,USD220.00 ,7.00%,"USD3,138 ","USD5,600 ","13,200",Stephan B. Tanda,"President, Chief Executive Officer &amp;  Director",Materials,"Packaging, Containers",-,Crystal Lake,IL,42.2411344,-88.3161965
835,Benchmark Electronics,863,"USD2,467 ",6.80%,(USD32.00),-149.90%,"USD2,097 ","USD1,455 ","10,600",Paul J. Tufano,"President, Chief Executive Officer &amp;  Director",Technology,Semiconductors and Other Electronic Components,-,Scottsdale,AZ,33.4941704,-111.9260519
836,Columbia Sportswear,841,"USD2,466 ",3.70%,USD105.10 ,-45.20%,"USD2,213 ","USD5,351 ","6,188",Timothy P. Boyle,"President, Chief Executive Officer &amp;  Director",Apparel,Apparel,-,Portland,OR,45.5122308,-122.6587185
837,A. Schulman,811,"USD2,461 ",-1.40%,USD33.00 ,-,"USD1,754 ","USD1,270 ","4,900",Joseph M. Gingo,"Chairman, President &amp;  Chief Executive Officer",Chemicals,Chemicals,-,Fairlawn,OH,41.127833,-81.609844
838,Verso,786,"USD2,461 ",-6.80%,(USD30.00),-,"USD1,732 ",USD580 ,"4,200",B. Christopher DiSantis,"President, Chief Executive Officer &amp;  Director",Materials,Forest and Paper Products,-,Miamisburg,OH,39.6428362,-84.2866083
839,Digital Realty Trust,901,"USD2,458 ",14.70%,USD248.30 ,-41.70%,"USD21,404 ","USD21,701 ","1,429",A. William Stein,Chairman &amp;  Chief Executive Officer,Financials,Real estate,-,SF,CA,37.7749295,-122.4194155
840,GNC Holdings,797,"USD2,453 ",-3.40%,(USD148.90),-,"USD1,517 ",USD323 ,"11,500",Kenneth A. Martindale,Chairman &amp;  Chief Executive Officer,Food &amp;  Drug Stores,Food and Drug Stores,-,Pittsburgh,PA,40.4406248,-79.9958864
841,E*Trade Financial,930,"USD2,452 ",21.00%,USD614.00 ,11.20%,"USD63,365 ","USD14,692 ","3,607",Karl A. Roessner,Chairman &amp;  Chief Executive Officer,Financials,Securities,-,New York,NY,40.7127753,-74.0059728
842,Hovnanian Enterprises,765,"USD2,452 ",-10.90%,(USD332.20),-,"USD1,901 ",USD271 ,"1,905",Ara K. Hovnanian,"Chairman, President &amp;  Chief Executive Officer",Engineering &amp;  Construction,Homebuilders,-,Red Bank,NJ,40.3470543,-74.0643065
